День;Код_Состояния;Описание
1;1;Ясно (1)
2;1;Ясно (1)
3;2;Облачно (2)
4;3;Пасмурно (3)
5;2;Облачно (2)
6;3;Пасмурно (3)
7;3;Пасмурно (3)
8;2;Облачно (2)
9;3;Пасмурно (3)
10;1;Ясно (1)
11;1;Ясно (1)
12;1;Ясно (1)
13;1;Ясно (1)
14;1;Ясно (1)
15;1;Ясно (1)
16;1;Ясно (1)
17;1;Ясно (1)
18;2;Облачно (2)
19;2;Облачно (2)
20;3;Пасмурно (3)
21;3;Пасмурно (3)
22;3;Пасмурно (3)
23;3;Пасмурно (3)
24;3;Пасмурно (3)
25;3;Пасмурно (3)
26;2;Облачно (2)
27;3;Пасмурно (3)
28;3;Пасмурно (3)
29;3;Пасмурно (3)
30;2;Облачно (2)
31;1;Ясно (1)
32;1;Ясно (1)
33;1;Ясно (1)
34;3;Пасмурно (3)
35;3;Пасмурно (3)
36;2;Облачно (2)
37;2;Облачно (2)
38;2;Облачно (2)
39;3;Пасмурно (3)
40;3;Пасмурно (3)
41;2;Облачно (2)
42;1;Ясно (1)
43;3;Пасмурно (3)
44;2;Облачно (2)
45;3;Пасмурно (3)
46;2;Облачно (2)
47;2;Облачно (2)
48;3;Пасмурно (3)
49;2;Облачно (2)
50;3;Пасмурно (3)
51;3;Пасмурно (3)
52;2;Облачно (2)
53;2;Облачно (2)
54;3;Пасмурно (3)
55;3;Пасмурно (3)
56;3;Пасмурно (3)
57;3;Пасмурно (3)
58;2;Облачно (2)
59;1;Ясно (1)
60;1;Ясно (1)
61;1;Ясно (1)
62;2;Облачно (2)
63;2;Облачно (2)
64;2;Облачно (2)
65;2;Облачно (2)
66;2;Облачно (2)
67;1;Ясно (1)
68;1;Ясно (1)
69;3;Пасмурно (3)
70;2;Облачно (2)
71;1;Ясно (1)
72;1;Ясно (1)
73;1;Ясно (1)
74;2;Облачно (2)
75;2;Облачно (2)
76;2;Облачно (2)
77;2;Облачно (2)
78;2;Облачно (2)
79;3;Пасмурно (3)
80;2;Облачно (2)
81;2;Облачно (2)
82;2;Облачно (2)
83;2;Облачно (2)
84;2;Облачно (2)
85;3;Пасмурно (3)
86;2;Облачно (2)
87;2;Облачно (2)
88;2;Облачно (2)
89;3;Пасмурно (3)
90;3;Пасмурно (3)
91;3;Пасмурно (3)
92;1;Ясно (1)
93;2;Облачно (2)
94;1;Ясно (1)
95;2;Облачно (2)
96;2;Облачно (2)
97;2;Облачно (2)
98;2;Облачно (2)
99;2;Облачно (2)
100;2;Облачно (2)
101;1;Ясно (1)
102;1;Ясно (1)
103;1;Ясно (1)
104;1;Ясно (1)
105;2;Облачно (2)
106;3;Пасмурно (3)
107;3;Пасмурно (3)
108;2;Облачно (2)
109;2;Облачно (2)
110;1;Ясно (1)
111;2;Облачно (2)
112;2;Облачно (2)
113;2;Облачно (2)
114;1;Ясно (1)
115;1;Ясно (1)
116;1;Ясно (1)
117;2;Облачно (2)
118;3;Пасмурно (3)
119;3;Пасмурно (3)
120;3;Пасмурно (3)
121;3;Пасмурно (3)
122;3;Пасмурно (3)
123;3;Пасмурно (3)
124;2;Облачно (2)
125;1;Ясно (1)
126;1;Ясно (1)
127;1;Ясно (1)
128;1;Ясно (1)
129;1;Ясно (1)
130;2;Облачно (2)
131;2;Облачно (2)
132;3;Пасмурно (3)
133;3;Пасмурно (3)
134;3;Пасмурно (3)
135;3;Пасмурно (3)
136;3;Пасмурно (3)
137;3;Пасмурно (3)
138;1;Ясно (1)
139;3;Пасмурно (3)
140;3;Пасмурно (3)
141;2;Облачно (2)
142;1;Ясно (1)
143;1;Ясно (1)
144;2;Облачно (2)
145;3;Пасмурно (3)
146;2;Облачно (2)
147;2;Облачно (2)
148;2;Облачно (2)
149;3;Пасмурно (3)
150;1;Ясно (1)
151;1;Ясно (1)
152;1;Ясно (1)
153;1;Ясно (1)
154;3;Пасмурно (3)
155;2;Облачно (2)
156;2;Облачно (2)
157;1;Ясно (1)
158;3;Пасмурно (3)
159;3;Пасмурно (3)
160;2;Облачно (2)
161;3;Пасмурно (3)
162;3;Пасмурно (3)
163;3;Пасмурно (3)
164;3;Пасмурно (3)
165;3;Пасмурно (3)
166;3;Пасмурно (3)
167;2;Облачно (2)
168;2;Облачно (2)
169;1;Ясно (1)
170;1;Ясно (1)
171;2;Облачно (2)
172;2;Облачно (2)
173;2;Облачно (2)
174;2;Облачно (2)
175;1;Ясно (1)
176;2;Облачно (2)
177;3;Пасмурно (3)
